"trial" "xdat" "lat" "fstCorrect" "ErrCorr" "AS" "Count" "Desc" "ld8"
"1" 1 131 NA FALSE FALSE "AS" -1 "moving (4.386 px/60Hz) before target onset" "10129.20180829"
"2" 2 134 191 TRUE FALSE "AS" 1 "" "10129.20180829"
"3" 3 131 159 FALSE TRUE "AS" 2 "" "10129.20180829"
"4" 4 132 196 TRUE FALSE "AS" 1 "" "10129.20180829"
"5" 5 133 216 TRUE FALSE "AS" 1 "" "10129.20180829"
"6" 6 134 221 TRUE FALSE "AS" 1 "" "10129.20180829"
"7" 7 132 243 TRUE FALSE "AS" 1 "" "10129.20180829"
"8" 8 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"9" 9 131 280 TRUE FALSE "AS" 1 "" "10129.20180829"
"10" 10 134 268 TRUE FALSE "AS" 1 "" "10129.20180829"
"11" 11 131 235 TRUE FALSE "AS" 1 "" "10129.20180829"
"12" 12 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"13" 13 133 270 TRUE FALSE "AS" 1 "" "10129.20180829"
"14" 14 134 258 TRUE FALSE "AS" 1 "" "10129.20180829"
"15" 15 132 NA FALSE FALSE "AS" -1 "no saccades (getSacs)" "10129.20180829"
"16" 16 131 307 TRUE FALSE "AS" 1 "" "10129.20180829"
"17" 17 132 243 TRUE FALSE "AS" 1 "" "10129.20180829"
"18" 18 133 233 TRUE FALSE "AS" 1 "" "10129.20180829"
"19" 19 131 312 TRUE FALSE "AS" 1 "" "10129.20180829"
"20" 20 133 349 TRUE FALSE "AS" 1 "" "10129.20180829"
"21" 21 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"22" 22 133 213 TRUE FALSE "AS" 1 "" "10129.20180829"
"23" 23 133 248 TRUE FALSE "AS" 1 "" "10129.20180829"
"24" 24 133 479 TRUE FALSE "AS" 1 "" "10129.20180829"
"25" 25 131 618 TRUE FALSE "AS" 1 "" "10129.20180829"
"26" 26 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"27" 27 134 259 TRUE FALSE "AS" 1 "" "10129.20180829"
"28" 28 134 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10129.20180829"
"29" 29 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"30" 30 131 268 TRUE FALSE "AS" 1 "" "10129.20180829"
"31" 31 134 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10129.20180829"
"32" 32 131 282 TRUE FALSE "AS" 1 "" "10129.20180829"
"33" 33 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"34" 34 134 226 TRUE FALSE "AS" 1 "" "10129.20180829"
"35" 35 131 255 TRUE FALSE "AS" 1 "" "10129.20180829"
"36" 36 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"37" 37 132 NA FALSE FALSE "AS" -1 "no saccades (getSacs)" "10129.20180829"
"38" 38 133 226 TRUE FALSE "AS" 1 "" "10129.20180829"
"39" 39 134 264 TRUE FALSE "AS" 1 "" "10129.20180829"
"40" 40 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"41" 41 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"42" 42 132 128 FALSE FALSE "AS" 0 "" "10129.20180829"
"43" 43 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"44" 44 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"45" 45 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"46" 46 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"47" 47 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10129.20180829"
"48" 48 132 NA FALSE FALSE "AS" -1 "no saccades (getSacs)" "10129.20180829"
"49" 1 134 174 TRUE FALSE "AS" 1 "" "10173.20200129"
"50" 2 132 191 TRUE FALSE "AS" 1 "" "10173.20200129"
"51" 3 132 181 TRUE FALSE "AS" 1 "" "10173.20200129"
"52" 4 131 179 TRUE FALSE "AS" 1 "" "10173.20200129"
"53" 5 131 201 TRUE FALSE "AS" 1 "" "10173.20200129"
"54" 6 132 238 TRUE FALSE "AS" 1 "" "10173.20200129"
"55" 7 133 142 FALSE TRUE "AS" 2 "" "10173.20200129"
"56" 8 134 224 TRUE FALSE "AS" 1 "" "10173.20200129"
"57" 9 133 226 TRUE FALSE "AS" 1 "" "10173.20200129"
"58" 10 132 127 FALSE TRUE "AS" 2 "" "10173.20200129"
"59" 11 131 93 TRUE FALSE "AS" 1 "" "10173.20200129"
"60" 12 132 226 TRUE FALSE "AS" 1 "" "10173.20200129"
"61" 13 131 427 TRUE FALSE "AS" 1 "" "10173.20200129"
"62" 14 131 235 TRUE FALSE "AS" 1 "" "10173.20200129"
"63" 15 133 204 TRUE FALSE "AS" 1 "" "10173.20200129"
"64" 16 133 113 FALSE TRUE "AS" 2 "" "10173.20200129"
"65" 17 132 127 FALSE TRUE "AS" 2 "" "10173.20200129"
"66" 18 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20200129"
"67" 19 134 169 TRUE FALSE "AS" 1 "" "10173.20200129"
"68" 20 133 196 TRUE FALSE "AS" 1 "" "10173.20200129"
"69" 21 132 167 TRUE FALSE "AS" 1 "" "10173.20200129"
"70" 22 132 140 FALSE TRUE "AS" 2 "" "10173.20200129"
"71" 23 134 149 FALSE TRUE "AS" 2 "" "10173.20200129"
"72" 24 134 211 TRUE FALSE "AS" 1 "" "10173.20200129"
"73" 25 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20200129"
"74" 26 133 297 TRUE FALSE "AS" 1 "" "10173.20200129"
"75" 27 133 176 TRUE FALSE "AS" 1 "" "10173.20200129"
"76" 28 133 194 TRUE FALSE "AS" 1 "" "10173.20200129"
"77" 29 134 115 TRUE FALSE "AS" 1 "" "10173.20200129"
"78" 30 133 93 TRUE FALSE "AS" 1 "" "10173.20200129"
"79" 31 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20200129"
"80" 32 133 191 TRUE FALSE "AS" 1 "" "10173.20200129"
"81" 33 131 235 TRUE FALSE "AS" 1 "" "10173.20200129"
"82" 34 132 282 TRUE FALSE "AS" 1 "" "10173.20200129"
"83" 35 134 174 TRUE FALSE "AS" 1 "" "10173.20200129"
"84" 36 131 186 TRUE FALSE "AS" 1 "" "10173.20200129"
"85" 37 131 140 FALSE TRUE "AS" 2 "" "10173.20200129"
"86" 38 131 199 TRUE FALSE "AS" 1 "" "10173.20200129"
"87" 39 131 130 FALSE TRUE "AS" 2 "" "10173.20200129"
"88" 40 133 189 TRUE FALSE "AS" 1 "" "10173.20200129"
"89" 41 132 108 FALSE TRUE "AS" 2 "" "10173.20200129"
"90" 42 134 191 TRUE FALSE "AS" 1 "" "10173.20200129"
"91" 43 132 201 TRUE FALSE "AS" 1 "" "10173.20200129"
"92" 44 133 174 TRUE FALSE "AS" 1 "" "10173.20200129"
"93" 45 134 149 TRUE FALSE "AS" 1 "" "10173.20200129"
"94" 46 131 191 TRUE FALSE "AS" 1 "" "10173.20200129"
"95" 47 134 113 TRUE FALSE "AS" 1 "" "10173.20200129"
"96" 48 134 115 FALSE TRUE "AS" 2 "" "10173.20200129"
"97" 1 134 373 TRUE FALSE "AS" 1 "" "10173.20180718"
"98" 2 133 86 FALSE TRUE "AS" 2 "" "10173.20180718"
"99" 3 133 196 TRUE FALSE "AS" 1 "" "10173.20180718"
"100" 4 131 324 TRUE FALSE "AS" 1 "" "10173.20180718"
"101" 5 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"102" 6 134 221 TRUE FALSE "AS" 1 "" "10173.20180718"
"103" 7 131 130 FALSE TRUE "AS" 2 "" "10173.20180718"
"104" 8 132 101 FALSE TRUE "AS" 2 "" "10173.20180718"
"105" 9 134 221 TRUE FALSE "AS" 1 "" "10173.20180718"
"106" 10 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"107" 11 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"108" 12 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"109" 13 131 376 TRUE FALSE "AS" 1 "" "10173.20180718"
"110" 14 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"111" 15 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"112" 16 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"113" 17 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"114" 18 132 NA FALSE FALSE "AS" -1 "< 30% tracking for samples of interest" "10173.20180718"
"115" 19 133 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"116" 20 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"117" 21 132 235 TRUE FALSE "AS" 1 "" "10173.20180718"
"118" 22 132 NA FALSE FALSE "AS" -1 "moving (-Inf px/60Hz) before target onset" "10173.20180718"
"119" 23 133 223 TRUE FALSE "AS" 1 "" "10173.20180718"
"120" 24 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"121" 25 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"122" 26 133 NA FALSE FALSE "AS" -1 "no saccades (getSacs)" "10173.20180718"
"123" 27 132 152 TRUE FALSE "AS" 1 "" "10173.20180718"
"124" 28 131 203 TRUE FALSE "AS" 1 "" "10173.20180718"
"125" 29 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"126" 30 132 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"127" 31 133 221 TRUE FALSE "AS" 1 "" "10173.20180718"
"128" 32 131 NA FALSE FALSE "AS" -1 "average fixpos(48.725000) is off from baseline(130.500000)!" "10173.20180718"
"129" 33 131 285 TRUE FALSE "AS" 1 "" "10173.20180718"
"130" 34 131 184 TRUE FALSE "AS" 1 "" "10173.20180718"
"131" 35 134 186 TRUE FALSE "AS" 1 "" "10173.20180718"
"132" 36 134 NA FALSE FALSE "AS" -1 "blink ends before any saccades" "10173.20180718"
"133" 37 131 132 FALSE TRUE "AS" 2 "" "10173.20180718"
"134" 38 133 292 TRUE FALSE "AS" 1 "" "10173.20180718"
"135" 39 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"136" 40 132 304 TRUE FALSE "AS" 1 "" "10173.20180718"
"137" 41 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"138" 42 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"139" 43 134 NA FALSE FALSE "AS" -1 "blink before target onset" "10173.20180718"
"140" 44 132 164 TRUE FALSE "AS" 1 "" "10173.20180718"
"141" 45 134 125 FALSE TRUE "AS" 2 "" "10173.20180718"
"142" 46 133 105 FALSE TRUE "AS" 2 "" "10173.20180718"
"143" 47 133 176 TRUE FALSE "AS" 1 "" "10173.20180718"
"144" 48 134 326 TRUE FALSE "AS" 1 "" "10173.20180718"
"145" 1 132 366 FALSE TRUE "AS" 2 "" "10173.20210809"
